x	y
335.989263	286.226199
335.700353	286.256537
335.491329	286.167630
335.176880	286.476323
335.000713	286.080599
335.071225	286.219373
334.899076	286.311301
334.786696	286.546638
334.831549	286.671663
334.686899	286.618801
334.558545	286.617455
334.587336	286.548035
334.576868	286.499282
334.605755	286.514388
334.424577	286.050773
334.846263	286.267616
335.414460	286.156764
336.084746	286.061441
336.726502	286.002120
337.847779	286.085943
339.030303	285.995067
340.473058	286.518544
342.290119	287.086195
343.540444	286.801002
345.090844	287.120887
346.423905	287.283530
348.291961	287.489422
350.232480	287.462264
351.766215	287.663578
353.216480	287.731844
354.479944	287.560873
356.087889	287.375087
358.022099	287.621547
359.911095	287.767425
361.354527	287.410504
363.520308	287.694678
365.708362	287.667588
368.168112	287.685791
370.599863	288.112175
373.256478	288.381395
375.881066	288.807929
378.337492	289.086671
381.420499	289.047963
384.375084	289.729404
387.317121	289.661479
389.461538	289.820067
392.656755	290.040724
394.970130	290.150000
398.244048	290.867063
400.866060	290.600780
403.423863	290.835860
405.957843	290.522629
408.466013	290.260131
411.274697	290.620778
414.026232	290.446577
417.091262	290.521036
420.015248	290.804956
423.175163	291.142484
425.929836	291.121365
429.260759	291.568987
433.035737	291.880878
436.215995	292.372796
439.330813	292.525520
442.356258	292.647460
445.298201	292.805270
448.810895	293.140263
452.041250	293.240625
454.678549	293.184490
456.881841	293.230100
459.939610	293.512338
461.736681	293.195958
464.766894	293.518909
467.607893	293.853596
469.950556	293.924598
472.266792	293.971751
475.373464	293.746929
477.740623	293.783853
480.394953	294.306625
483.101377	294.275344
485.342581	294.587097
488.751861	294.881514
491.226403	295.106931
493.970407	295.147965
496.183609	295.524142
498.021262	295.859136
499.873402	295.677110
501.896736	295.966023
504.039875	295.953271
505.343853	296.107166
506.203003	296.291775
507.726804	296.063789
509.121983	295.693412
510.196597	295.670447
511.961691	295.883091
513.228059	295.971172
514.077023	295.698433
515.325813	295.919708
516.674644	296.016818
517.742725	296.157407
519.013249	296.303470
519.813907	296.384106
520.382812	296.419922
521.453003	296.690601
522.190444	296.876178
522.740642	296.818182
522.595687	296.840970
522.735471	296.869739
522.794274	296.632490
522.908184	296.559548
522.762846	296.610672
522.661344	296.576181
521.787247	296.290404
521.479868	295.852805
520.761165	295.838188
520.295238	296.109841
520.086957	296.069693
519.655633	296.139402
518.393624	295.944047
517.862025	295.760127
516.930591	296.082905
516.369132	296.289389
515.224782	296.363014
513.798440	296.367360
512.368687	296.173611
510.749674	296.045632
509.439547	296.064861
508.155811	296.146871
505.478288	295.788546
503.538462	295.363858
501.528351	295.365979
499.549907	295.310601
497.665816	295.220663
495.321182	295.157134
493.062307	294.579889
490.310828	294.384713
488.003051	294.445394
486.056116	294.275536
484.537948	294.503947
481.721424	294.456590
479.523277	294.395407
476.366445	294.151423
473.853160	293.923172
471.480464	293.771062
468.315757	293.855303
465.803309	293.868260
462.780253	293.549067
459.551201	293.207965
456.616828	292.847458
453.499373	293.126098
450.638702	292.611758
447.361846	292.200000
444.107579	292.042787
441.296140	291.975875
437.987124	291.968731
435.206125	291.991755
432.027845	291.448547
429.235403	291.422864
426.610326	291.578365
423.930861	291.447517
421.209610	291.228829
418.479695	291.574873
415.471366	291.219635
412.354088	291.128931
409.341661	290.832605
406.194377	290.699878
403.557064	290.623689
400.121936	289.985294
396.692695	290.127204
393.610381	289.510319
390.818907	289.305709
387.762306	289.214378
385.060697	289.188702
382.451322	288.820116
379.653036	288.357497
377.240895	288.546965
375.509508	288.725902
372.998086	288.402680
370.525733	288.403909
368.947063	288.417689
366.531351	288.092437
364.292517	288.408163
362.577279	288.274769
359.868421	288.326586
357.610365	287.814459
355.329268	287.663279
353.539457	287.714101
351.299672	287.442623
349.041694	287.095963
346.874675	286.826623
345.405142	286.370396
343.661924	286.022358
342.203092	286.192551
341.213992	286.687243
339.705190	286.448443
338.894700	286.578103
337.875937	286.590320
337.161912	286.388017
336.700974	286.763561
335.911950	286.901468
334.760000	286.646207
334.516529	286.713499
333.722458	286.548023
333.335184	286.517002
332.685045	286.391454
331.627083	286.293056
330.891008	285.963215
330.603534	286.031802
330.490858	286.071730
330.168353	285.950145
330.046763	285.815827
330.223176	285.785408
330.173944	285.739442
330.566197	285.939437
331.272858	286.023758
331.933472	286.379071
332.896380	286.439319
333.532097	286.402996
334.673329	286.678153
335.786638	286.765086
336.979749	286.950419
337.801149	286.806174
338.495374	287.030605
339.248403	286.781405
340.543759	286.946915
342.127424	286.849723
343.181754	286.898947
343.848049	286.714579
345.486833	286.774477
347.365569	286.569273
348.997999	286.744496
350.809622	287.105155
352.797244	286.683727
355.014915	287.298305
357.025119	287.544467
359.349488	287.709215
361.677353	287.960437
364.042763	288.075658
366.192598	288.440713
369.073413	288.789021
371.417007	289.094558
374.349701	289.088255
376.513672	289.201823
378.609772	289.360107
380.857593	289.229994
383.023227	289.220967
385.722328	289.253004
388.265448	289.284363
390.966900	289.558880
393.794984	289.600627
396.339936	289.760383
400.042033	290.067754
402.581829	290.266957
405.871287	290.566832
408.925584	290.894834
412.111322	290.945604
415.524560	291.252881
418.792615	291.800000
421.472153	291.987005
424.861709	291.907806
427.539862	291.977401
430.075269	291.790323
432.923221	291.747191
435.698780	291.606707
438.664630	291.860110
442.261861	292.084412
444.357572	292.110577
447.374848	292.213244
450.225750	292.587889
452.600503	292.726759
456.074396	292.768134
459.067201	292.806412
461.594578	293.180328
464.786496	293.527372
467.749532	294.108057
470.470909	294.221212
473.180678	294.316186
475.921836	294.281017
478.635514	294.521495
480.978887	294.685221
483.577370	294.727217
485.310563	294.820367
487.643484	294.612782
489.236973	294.177419
491.223794	294.590354
493.571779	294.752761
495.446034	294.847854
497.490184	294.549080
498.976040	294.837327
501.073109	295.040051
502.736059	294.764560
504.620039	295.064411
506.733208	295.082863
507.809743	295.378539
509.684679	295.560712
510.774441	295.715655
512.316976	295.812997
513.616071	296.267219
514.353482	296.032194
515.056616	295.844784
516.057990	295.729381
516.744778	295.765666
517.075048	295.890314
517.485136	295.513599
517.871975	295.452866
518.050576	295.471191
518.526115	295.542675
518.769083	295.572162
518.819054	295.480818
518.795880	295.076155
518.966900	295.442393
519.104127	295.382222
519.090216	295.441550
518.987398	295.768746
518.932789	295.856156
518.545629	295.608168
517.742982	295.774173
517.083760	295.557545
516.461830	295.774763
515.452685	295.388107
514.393862	295.254476
512.743622	295.235843
511.424340	294.933677
510.357452	294.622758
508.935622	294.879828
506.913017	294.536089
505.480480	294.445646
503.204545	294.431187
501.962424	293.936364
500.817955	294.461347
498.846622	294.279367
497.343016	293.982077
495.432432	294.044626
493.314234	293.860072
491.703125	294.226250
489.449355	294.028852
487.014330	294.043614
484.472965	293.906153
482.287852	293.859366
479.916925	293.754495
476.914030	293.505075
474.284119	293.425558
471.296697	292.967568
468.582001	292.823564
465.783947	292.583585
463.050351	292.240632
460.450153	292.489297
457.657941	292.117510
454.932121	292.177576
451.902220	292.106179
449.456328	291.759358
446.499080	291.998774
443.739571	291.927294
441.387492	292.009197
438.270467	291.533657
435.443436	291.641258
432.669301	291.460182
429.338443	291.176297
426.712957	290.866088
423.434282	290.654755
419.580346	290.305933
417.141271	290.098088
413.721331	289.688651
410.851343	289.863835
407.430851	289.224586
404.596238	288.991223
401.930582	289.120075
399.257613	288.831303
396.657396	289.124526
394.023853	288.717431
391.191661	288.889235
389.226242	288.686695
386.454887	288.406015
384.447552	288.905912
381.493291	288.684345
378.739577	288.145606
376.359694	288.220026
374.175016	288.210150
371.139566	288.296906
368.630449	287.854912
366.471506	287.674355
364.453518	287.237437
361.983051	287.351186
360.113475	286.940683
358.043978	287.044655
355.997317	287.101945
354.141821	286.968338
352.268759	286.500682
351.309822	287.039552
349.582192	286.604795
348.065364	286.921159
347.344196	286.887984
345.489288	286.623359
344.641484	286.663353
343.612483	286.587106
342.352577	286.850859
341.332398	286.730014
339.978007	286.376632
338.653689	286.390710
337.504261	286.357955
336.561925	286.297948
335.952516	285.902906
335.219310	285.976552
334.832988	285.926156
334.159742	285.767908
333.871921	285.666432
333.715000	285.835000
333.745714	285.878571
333.710187	286.044476
334.099286	286.182143
334.325301	286.262225
334.673310	286.328114
334.943543	286.294989
334.977465	286.103521
335.297661	286.167966
335.783404	285.988748
336.326429	286.042143
337.203425	286.313699
338.148814	286.422717
338.575931	286.223496
338.773692	286.147808
340.197857	286.195000
341.486411	286.326829
342.885491	286.650071
344.048151	286.443126
345.785164	286.514346
347.309307	286.764171
349.296070	286.920732
350.996441	287.239858
352.438727	287.099526
354.560958	287.294574
356.997983	287.605245
358.749134	287.699931
360.677032	288.081979
362.527121	288.088317
364.597773	288.186500
366.463269	288.168101
368.349481	288.146713
370.773002	288.223640
372.721510	288.281187
374.925322	288.300068
377.090680	288.039673
379.975806	288.727823
382.612398	288.770820
385.613095	288.999339
388.536036	289.301158
391.129273	289.052206
393.995533	289.368220
397.150285	289.867470
399.963202	290.226598
403.105897	290.621433
405.679593	290.577241
408.905263	290.771053
411.572323	290.550407
414.392926	290.824437
417.558897	290.956140
420.064785	291.346376
422.929344	291.383195
425.505853	291.308688
428.288125	291.456846
431.047589	291.495304
434.089562	291.663660
437.566540	291.761724
440.233106	291.429014
443.274570	292.140663
446.796651	292.085526
450.027881	292.509913
452.683344	292.741916
455.587312	292.807789
458.687854	293.103210
461.961039	293.191095
464.649589	293.423782
467.361922	293.969586
469.424779	294.003161
472.192741	293.846683
474.477932	293.931904
477.457878	294.083601
479.850822	294.114412
481.826316	294.336184
484.352015	294.333753
486.667093	293.950704
489.103201	294.443501
491.249367	294.662025
493.787739	294.621622
496.076971	294.690238
498.196999	295.138943
500.470550	295.377994
502.781699	295.472549
504.612382	295.576043
506.367560	295.480052
507.940040	295.616922
509.829378	295.826171
510.776011	295.897946
512.101131	296.005323
513.342653	296.224317
514.243079	296.177583
514.772610	296.137597
515.629678	296.022324
517.065480	296.090273
517.543059	296.082262
518.414474	296.289474
519.131461	295.859604
520.269611	295.986816
520.595731	296.343467
521.100990	296.551155
521.695624	296.702155
522.066153	296.536930
522.428292	296.528683
522.673997	296.626779
522.713178	296.671189
522.890482	296.739244
522.875908	296.698350
522.364611	296.351206
521.814119	296.272668
521.298223	296.296248
520.571155	296.253989
519.676794	295.809955
518.786727	295.821521
518.225868	295.620820
517.179884	295.226306
516.180348	295.631841
514.723803	295.533635
513.597213	295.695377
512.505089	295.804071
510.994216	295.790488
509.899937	295.705510
508.444156	295.818182
507.099065	296.163863
505.255225	296.004433
503.124120	295.733205
501.850093	295.444170
499.276392	295.534229
497.554144	295.271627
495.183072	294.836991
492.632099	294.538889
490.093593	294.164573
487.515210	294.162460
485.434436	294.257966
483.124845	294.178882
480.476980	293.750153
477.920398	293.951493
475.781659	293.815970
473.191168	293.531155
470.819392	293.797845
468.249236	293.690287
465.106070	293.592888
462.429084	293.475763
460.032376	293.405620
456.963953	293.637663
454.234245	293.570749
451.155941	292.811881
448.403341	292.618138
444.629902	292.617034
441.961207	292.431034
438.727932	292.148730
435.276865	291.904551
432.494301	291.324535
429.461392	291.398101
426.511413	291.030845
423.772559	291.213226
420.832406	290.883117
418.178486	290.549279
414.703270	290.596545
412.184802	290.755015
409.450252	290.831234
406.936262	290.530322
403.652012	290.354180
401.228954	290.086097
398.396380	289.748439
395.445302	289.787001
392.637004	289.592830
389.561097	289.435786
386.796802	289.023984
383.781807	288.874682
381.340804	288.957152
378.643219	288.870089
376.653564	288.519654
373.804846	288.166339
371.766537	288.102464
369.305062	287.676529
367.394249	287.723962
365.065408	287.875253
363.199077	287.696111
360.687541	287.577456
358.738714	287.309166
357.352941	287.340241
355.854983	287.701031
353.938199	287.516765
352.021350	287.451791
350.465734	287.250350
348.492948	287.173271
347.598447	287.217361
345.911263	286.903754
344.073684	286.831579
342.698479	286.529737
341.756959	286.524100
340.347616	286.114720
339.548301	286.152565
338.484935	286.065280
337.402893	285.880165
337.143347	285.875171
336.535865	286.114627
336.200275	286.208534
336.080758	286.492275
335.618207	286.548342
335.265060	286.588944
335.101635	286.551528
334.734141	286.574483
334.482482	286.498540
334.322206	286.325835
334.354106	286.247801
334.255596	286.240433
334.315485	286.176556
334.419611	286.184571
334.880481	286.195191
335.170122	286.134382
335.539419	285.984786
335.990050	286.280739
337.194684	286.502155
338.264498	286.585573
339.521962	286.804539
340.850394	286.867573
342.010094	286.866619
343.154225	287.218310
344.963611	287.074178
346.775194	287.390416
347.466113	286.992393
349.136776	287.316120
350.583051	287.660339
352.179916	287.824268
353.945392	287.777474
355.500000	287.863014
356.710826	287.902422
358.767132	287.678643
361.010490	287.900000
363.040623	288.159106
364.841497	288.049660
367.391604	288.348245
369.921260	288.643045
372.419946	288.915197
375.158740	288.967224
377.573463	289.276375
379.591728	289.321548
382.309729	289.528789
385.028302	289.601078
387.611675	289.630711
390.331139	289.990125
392.528678	289.993142
395.581529	290.252229
397.732984	290.258508
400.332695	290.077267
403.581125	290.424693
406.238572	290.804634
408.917250	291.005729
411.932633	290.920890
414.818571	290.941356
417.935751	291.187659
420.782715	290.990262
423.717005	291.321066
426.812500	291.472854
429.747260	292.191489
433.133036	292.025461
435.809582	292.267435
438.654500	292.300818
441.825153	292.238037
444.748603	292.594662
447.497570	292.410693
450.460337	292.668870
453.562104	293.088720
456.221615	293.160899
458.456743	293.275445
460.929630	293.034568
463.698885	293.311648
465.968494	293.546314
469.092638	293.787730
471.362476	293.861519
473.749377	293.822319
476.277530	293.974539
479.394605	294.278545
481.872761	294.362569
483.940683	294.617666
486.427791	294.525485
488.432380	294.882315
491.108056	295.059463
493.198459	295.231856
495.427832	295.172816
497.317781	295.136822
498.758161	295.181879
500.013350	295.318500
501.596732	295.586275
502.949742	295.773840
504.759305	295.850496
505.943955	295.975441
507.080615	295.701538
508.688931	295.720102
509.635741	296.008717
510.847489	296.050837
511.904487	295.901923
513.131148	295.610340
514.054545	295.716234
514.359515	296.014687
515.244231	296.192308
515.853499	296.204055
516.361111	296.138243
516.683149	296.058556
517.038860	296.193653
517.663192	296.125733
517.677399	296.122988
517.711526	296.059884
517.400895	296.120844
517.497792	296.141325
517.176658	295.973214
517.096530	295.786120
516.592757	295.789072
515.953125	295.778125
515.397890	295.559901
514.751908	295.896310
514.151724	295.947962
513.137573	295.985724
512.192427	295.697083
511.336300	295.635728
510.440284	295.510652
509.155364	295.432799
507.112331	295.939961
505.936402	295.751060
504.606875	295.201875
502.595046	294.960372
501.410768	295.027223
499.919826	295.141703
497.467228	295.147324
495.540151	294.814931
493.430943	294.310018
491.596685	294.621854
489.324307	294.119647
487.364807	294.280809
485.009932	294.049659
482.931928	293.980723
480.390049	293.900491
478.173358	293.757299
475.793784	293.927077
473.190840	293.613868
470.234262	293.361985
467.870074	293.407635
464.755596	293.305505
462.856618	293.393995
459.939938	293.265635
457.198827	292.866276
453.637032	292.601471
